"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Components\housecards.dart", "Dart", 8, 0, 0, 8
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Components\littlebutton.dart", "Dart", 3, 0, 0, 3
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Components\my_textfield.dart", "Dart", 1, 0, 0, 1
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Helpers\route.dart", "Dart", 8, 0, 1, 9
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Helpers\validators.dart", "Dart", 8, 0, 1, 9
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Screens\add.dart", "Dart", 116, 0, 8, 124
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Screens\favorites.dart", "Dart", 229, 7, 20, 256
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Screens\homepage.dart", "Dart", 110, 5, 21, 136
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Screens\houseoverview.dart", "Dart", 102, 3, 11, 116
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Screens\intro.dart", "Dart", 2, -1, 0, 1
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Screens\profile.dart", "Dart", 346, 5, 17, 368
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Screens\signin.dart", "Dart", 31, 1, 5, 37
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\Screens\signup.dart", "Dart", 22, 0, 7, 29
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\firebase\firebase_auth_services.dart", "Dart", 54, 1, 8, 63
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\main.dart", "Dart", 19, 0, 5, 24
"c:\Users\Abder\Desktop\Univ\mobdev\realestate\lib\wrappers\navbarwrapper.dart", "Dart", 1, 0, 0, 1
"Total", "-", 1060, 21, 104, 1185
